,Forma
2397,credito
2398,credito
2399,pix
2400,credito
2401,credito
2402,pix
2403,credito
2404,debito
2405,credito
2406,credito
2407,debito
2408,credito
2409,credito
2410,pix
2411,credito
2412,credito
2413,pix
2414,credito
2415,boleto
2416,credito
2417,pix
2418,debito
2419,pix
2420,credito
2421,credito
2422,debito
2423,boleto
2424,debito
2425,credito
2426,credito
2427,debito
2428,credito
2429,debito
2430,credito
2431,dinheiro
2432,credito
2433,credito
2434,credito
2435,credito
2436,credito
2437,pix
2438,debito
2439,credito
2440,credito
2441,credito
2442,credito
2443,credito
2444,debito
2445,credito
2446,pix
2447,credito
2448,credito
2449,credito
2450,debito
2451,credito
2452,credito
2453,credito
2454,boleto
2455,pix
2456,credito
2457,boleto
2458,credito
2459,credito
2460,dinheiro
2461,credito
2462,credito
2463,boleto
2464,pix
2465,debito
2466,debito
2467,dinheiro
2468,boleto
2469,dinheiro
2470,credito
2471,credito
2472,credito
2473,boleto
2474,dinheiro
2475,credito
2476,credito
2477,credito
2478,credito
2479,credito
2480,debito
2481,pix
2482,credito
2483,credito
2484,pix
2485,credito
2486,debito
2487,boleto
2488,credito
2489,credito
2490,credito
2491,pix
2492,credito
2493,credito
2494,credito
2495,debito
2496,credito
2497,credito
2498,credito
2499,credito
2500,pix
2501,pix
2502,credito
2503,credito
2504,credito
2505,pix
2506,credito
2507,credito
2508,credito
2509,credito
2510,boleto
2511,boleto
2512,credito
2513,boleto
2514,credito
2515,pix
2516,credito
2517,credito
2518,credito
2519,credito
2520,pix
2521,debito
2522,credito
2523,pix
2524,credito
2525,credito
2526,pix
2527,credito
2528,boleto
2529,credito
2530,debito
2531,credito
2532,credito
2533,pix
2534,credito
2535,credito
2536,credito
2537,boleto
2538,credito
2539,credito
2540,credito
2541,credito
2542,credito
2543,boleto
2544,pix
2545,debito
2546,dinheiro
2547,debito
2548,debito
2549,credito
2550,debito
2551,debito
2552,credito
2553,credito
2554,debito
2555,credito
2556,credito
2557,credito
2558,debito
2559,pix
2560,pix
2561,pix
2562,pix
2563,credito
2564,credito
2565,dinheiro
2566,debito
2567,credito
2568,credito
2569,debito
2570,credito
2571,credito
2572,pix
2573,credito
2574,credito
2575,credito
2576,pix
2577,debito
2578,pix
2579,credito
2580,credito
2581,credito
2582,credito
2583,boleto
2584,credito
2585,credito
2586,pix
2587,credito
2588,pix
2589,credito
2590,dinheiro
2591,boleto
2592,debito
2593,credito
2594,pix
2595,dinheiro
2596,credito
2597,credito
2598,boleto
2599,credito
2600,credito
2601,credito
2602,credito
2603,credito
2604,credito
2605,credito
2606,credito
2607,credito
2608,credito
2609,credito
2610,pix
2611,credito
2612,credito
2613,credito
2614,credito
2615,credito
2616,credito
2617,credito
2618,pix
2619,credito
2620,credito
2621,credito
2622,credito
2623,credito
2624,credito
2625,credito
2626,pix
2627,credito
2628,boleto
2629,debito
2630,boleto
2631,credito
2632,boleto
2633,credito
2634,boleto
2635,boleto
2636,credito
2637,pix
2638,debito
2639,pix
2640,credito
2641,credito
2642,pix
2643,credito
2644,debito
2645,dinheiro
2646,pix
2647,credito
2648,credito
2649,debito
2650,dinheiro
2651,credito
2652,credito
2653,credito
2654,debito
2655,pix
2656,pix
2657,credito
2658,credito
2659,pix
2660,credito
2661,credito
2662,credito
2663,credito
2664,pix
2665,credito
2666,debito
2667,credito
2668,credito
2669,credito
2670,credito
2671,debito
2672,boleto
2673,credito
2674,debito
2675,dinheiro
2676,credito
2677,credito
2678,credito
2679,credito
2680,boleto
2681,boleto
2682,credito
2683,pix
2684,credito
2685,debito
2686,credito
2687,pix
2688,debito
2689,boleto
2690,credito
2691,credito
2692,credito
2693,pix
2694,credito
2695,debito
2696,dinheiro
2697,pix
2698,credito
2699,credito
2700,credito
2701,credito
2702,credito
2703,credito
2704,credito
2705,credito
2706,credito
2707,debito
2708,credito
2709,credito
2710,credito
2711,credito
2712,debito
2713,credito
2714,boleto
2715,pix
2716,boleto
2717,credito
2718,pix
2719,boleto
2720,credito
2721,credito
2722,credito
2723,credito
2724,boleto
2725,dinheiro
2726,credito
2727,credito
2728,credito
2729,credito
2730,credito
2731,debito
2732,credito
2733,credito
2734,credito
2735,credito
2736,credito
2737,credito
2738,credito
2739,boleto
2740,boleto
2741,credito
2742,boleto
2743,credito
2744,credito
2745,credito
2746,pix
2747,credito
2748,credito
2749,credito
2750,credito
2751,credito
2752,credito
2753,pix
2754,pix
2755,credito
2756,credito
2757,debito
2758,credito
2759,pix
2760,credito
2761,boleto
2762,credito
2763,credito
2764,credito
2765,debito
2766,debito
2767,credito
2768,dinheiro
2769,debito
2770,credito
2771,pix
2772,dinheiro
2773,debito
2774,credito
2775,credito
2776,credito
2777,credito
2778,debito
2779,credito
2780,credito
2781,pix
2782,debito
2783,debito
2784,pix
2785,credito
2786,pix
2787,credito
2788,credito
2789,credito
2790,credito
2791,debito
2792,credito
2793,boleto
2794,boleto
2795,credito
2796,pix
2797,credito
2798,credito
2799,credito
2800,pix
2801,credito
2802,credito
2803,credito
2804,credito
2805,credito
2806,pix
2807,credito
2808,credito
2809,credito
2810,credito
2811,debito
2812,pix
2813,boleto
2814,credito
2815,pix
2816,credito
2817,credito
2818,debito
2819,debito
2820,credito
2821,debito
2822,debito
2823,debito
2824,debito
2825,boleto
2826,boleto
2827,pix
2828,boleto
2829,credito
2830,credito
2831,debito
2832,credito
2833,credito
2834,pix
2835,credito
2836,credito
2837,credito
2838,credito
2839,credito
2840,boleto
2841,credito
2842,credito
2843,debito
2844,credito
2845,boleto
2846,credito
2847,credito
2848,credito
2849,credito
2850,credito
2851,credito
2852,boleto
2853,pix
2854,credito
2855,credito
2856,credito
2857,credito
2858,credito
2859,credito
2860,debito
2861,credito
2862,pix
2863,credito
2864,credito
2865,credito
2866,credito
2867,credito
2868,credito
2869,credito
2870,debito
2871,boleto
2872,credito
2873,debito
2874,pix
2875,dinheiro
2876,credito
2877,credito
2878,credito
2879,credito
2880,credito
2881,credito
2882,dinheiro
2883,credito
2884,credito
2885,credito
2886,credito
2887,pix
2888,credito
2889,credito
2890,credito
2891,credito
2892,debito
2893,credito
2894,credito
2895,credito
2896,boleto
2897,credito
2898,credito
2899,credito
2900,credito
2901,pix
2902,debito
2903,credito
2904,dinheiro
2905,dinheiro
2906,credito
2907,credito
2908,credito
2909,debito
2910,credito
2911,pix
2912,credito
2913,pix
2914,credito
2915,credito
2916,credito
2917,debito
2918,boleto
2919,credito
2920,credito
2921,credito
2922,credito
2923,credito
2924,credito
2925,credito
2926,credito
2927,credito
2928,credito
2929,credito
2930,credito
2931,boleto
2932,credito
2933,pix
2934,credito
2935,credito
2936,credito
2937,credito
2938,credito
2939,debito
2940,credito
2941,credito
2942,dinheiro
2943,boleto
2944,debito
2945,debito
2946,credito
2947,debito
2948,boleto
2949,credito
2950,credito
2951,credito
2952,credito
2953,credito
2954,boleto
2955,credito
2956,credito
2957,credito
2958,credito
2959,debito
2960,credito
2961,pix
2962,pix
2963,credito
2964,debito
2965,credito
2966,credito
2967,credito
2968,dinheiro
2969,credito
2970,credito
2971,credito
2972,pix
2973,credito
2974,credito
2975,credito
2976,credito
2977,pix
2978,credito
2979,debito
2980,debito
2981,credito
2982,pix
2983,credito
2984,credito
2985,credito
2986,pix
2987,credito
2988,credito
2989,credito
2990,credito
2991,pix
2992,debito
2993,credito
2994,debito
2995,pix
2996,dinheiro
2997,pix
2998,credito
2999,credito
3000,pix
3001,credito
3002,pix
3003,credito
3004,credito
3005,dinheiro
3006,debito
3007,credito
3008,credito
3009,debito
3010,credito
3011,credito
3012,credito
3013,credito
3014,credito
3015,debito
3016,credito
3017,credito
3018,pix
3019,credito
3020,credito
3021,credito
3022,pix
3023,credito
3024,credito
3025,credito
3026,dinheiro
3027,debito
3028,pix
3029,credito
3030,credito
3031,dinheiro
3032,credito
3033,debito
3034,credito
3035,credito
3036,credito
3037,credito
3038,debito
3039,credito
3040,debito
3041,credito
3042,credito
3043,credito
3044,boleto
3045,credito
3046,credito
3047,credito
3048,pix
3049,credito
3050,debito
3051,boleto
3052,credito
3053,debito
3054,credito
3055,credito
3056,debito
3057,boleto
3058,dinheiro
3059,dinheiro
3060,credito
3061,pix
3062,debito
3063,credito
3064,debito
3065,credito
3066,credito
3067,credito
3068,credito
3069,debito
3070,credito
3071,credito
3072,credito
3073,debito
3074,dinheiro
3075,credito
3076,credito
3077,pix
3078,credito
3079,pix
3080,credito
3081,credito
3082,credito
3083,dinheiro
3084,credito
3085,credito
3086,debito
3087,credito
3088,debito
3089,boleto
3090,credito
3091,credito
3092,debito
3093,credito
3094,pix
3095,credito
3096,credito
3097,credito
3098,credito
3099,credito
3100,credito
3101,pix
3102,debito
3103,credito
3104,credito
3105,credito
3106,boleto
3107,credito
3108,pix
3109,credito
3110,credito
3111,credito
3112,dinheiro
3113,credito
3114,boleto
3115,credito
3116,credito
3117,pix
3118,credito
3119,credito
3120,credito
3121,credito
3122,credito
3123,credito
3124,credito
3125,credito
3126,pix
3127,credito
3128,credito
3129,debito
3130,debito
3131,credito
3132,pix
3133,credito
3134,dinheiro
3135,debito
3136,credito
3137,credito
3138,boleto
3139,credito
3140,boleto
3141,credito
3142,pix
3143,credito
3144,pix
3145,credito
3146,credito
3147,pix
3148,credito
3149,credito
3150,pix
3151,credito
3152,credito
3153,credito
3154,credito
3155,credito
3156,credito
3157,credito
3158,credito
3159,credito
3160,boleto
3161,credito
3162,credito
3163,credito
3164,boleto
3165,debito
3166,credito
3167,pix
3168,pix
3169,dinheiro
3170,debito
3171,credito
3172,debito
3173,boleto
3174,debito
3175,credito
3176,dinheiro
3177,credito
3178,pix
3179,boleto
3180,credito
3181,credito
3182,dinheiro
3183,credito
3184,credito
3185,credito
3186,debito
3187,dinheiro
3188,credito
3189,credito
3190,debito
3191,pix
3192,credito
3193,boleto
3194,dinheiro
3195,debito
3196,credito
3197,pix
3198,credito
3199,debito
3200,dinheiro
3201,credito
3202,dinheiro
3203,credito
3204,credito
3205,credito
3206,credito
3207,credito
3208,debito
3209,credito
3210,credito
3211,pix
3212,credito
3213,boleto
3214,pix
3215,credito
3216,pix
3217,credito
3218,credito
3219,credito
3220,boleto
3221,credito
3222,credito
3223,credito
3224,credito
3225,pix
3226,credito
3227,boleto
3228,pix
3229,pix
3230,pix
3231,credito
3232,credito
3233,credito
3234,debito
3235,credito
3236,boleto
3237,credito
3238,debito
3239,boleto
3240,credito
3241,credito
3242,credito
3243,credito
3244,credito
3245,boleto
3246,debito
3247,pix
3248,credito
3249,debito
3250,credito
3251,debito
3252,credito
3253,credito
3254,credito
3255,credito
3256,debito
3257,credito
3258,credito
3259,credito
3260,pix
3261,credito
3262,pix
3263,credito
3264,credito
3265,credito
3266,credito
3267,credito
3268,credito
3269,pix
3270,debito
3271,credito
3272,credito
3273,credito
3274,pix
3275,credito
3276,credito
3277,credito
3278,credito
3279,credito
3280,credito
3281,boleto
3282,credito
3283,pix
3284,credito
3285,credito
3286,credito
3287,credito
3288,credito
3289,credito
3290,credito
3291,dinheiro
3292,credito
3293,credito
3294,credito
3295,pix
3296,credito
3297,boleto
3298,debito
3299,credito
3300,credito
3301,credito
3302,credito
3303,pix
3304,credito
3305,pix
3306,credito
3307,credito
3308,credito
3309,debito
3310,credito
3311,credito
3312,credito
3313,credito
3314,credito
3315,credito
3316,credito
3317,credito
3318,credito
3319,credito
3320,credito
3321,credito
3322,pix
3323,debito
3324,credito
3325,credito
3326,pix
3327,credito
3328,credito
3329,pix
3330,credito
3331,credito
3332,pix
3333,credito
3334,credito
3335,debito
3336,credito
3337,pix
3338,boleto
3339,debito
3340,credito
3341,credito
3342,debito
3343,pix
3344,credito
3345,credito
3346,credito
3347,credito
3348,credito
3349,credito
3350,dinheiro
3351,credito
3352,boleto
3353,credito
3354,credito
3355,credito
3356,credito
3357,credito
3358,credito
3359,credito
3360,credito
3361,credito
3362,boleto
3363,debito
3364,credito
3365,credito
3366,credito
3367,credito
3368,pix
3369,pix
3370,dinheiro
3371,pix
3372,credito
3373,credito
3374,credito
3375,credito
3376,credito
3377,credito
3378,pix
3379,credito
3380,credito
3381,credito
3382,pix
3383,credito
3384,debito
3385,pix
3386,credito
3387,dinheiro
3388,dinheiro
3389,debito
3390,debito
3391,credito
3392,credito
3393,debito
3394,credito
3395,credito
3396,debito
3397,credito
3398,credito
3399,credito
3400,credito
3401,credito
3402,credito
3403,credito
3404,credito
3405,boleto
3406,dinheiro
3407,credito
3408,credito
3409,credito
3410,credito
3411,credito
3412,credito
3413,boleto
3414,boleto
3415,credito
3416,credito
3417,credito
3418,credito
3419,credito
3420,credito
3421,credito
3422,pix
3423,credito
3424,credito
3425,credito
3426,debito
3427,credito
3428,credito
3429,pix
3430,pix
3431,dinheiro
3432,boleto
3433,credito
3434,credito
3435,credito
3436,credito
3437,pix
3438,credito
3439,debito
3440,debito
3441,credito
3442,credito
3443,credito
3444,credito
3445,credito
3446,credito
3447,dinheiro
3448,debito
3449,debito
3450,pix
3451,pix
3452,dinheiro
3453,boleto
3454,credito
3455,pix
3456,pix
3457,credito
3458,credito
3459,credito
3460,debito
3461,credito
3462,credito
3463,credito
3464,pix
3465,dinheiro
3466,dinheiro
3467,credito
3468,boleto
3469,credito
3470,credito
3471,debito
3472,pix
3473,credito
3474,boleto
3475,pix
3476,credito
3477,credito
3478,credito
3479,credito
3480,pix
3481,credito
3482,debito
3483,debito
3484,debito
3485,credito
3486,credito
3487,credito
3488,pix
3489,credito
3490,pix
3491,boleto
3492,pix
3493,debito
3494,credito
3495,credito
3496,credito
3497,pix
3498,credito
3499,dinheiro
3500,credito
3501,boleto
3502,credito
3503,pix
3504,debito
3505,debito
3506,debito
3507,credito
3508,credito
3509,credito
3510,credito
3511,debito
3512,debito
3513,boleto
3514,credito
3515,pix
3516,debito
3517,credito
3518,credito
3519,credito
3520,debito
3521,pix
3522,credito
3523,debito
3524,credito
3525,pix
3526,debito
3527,credito
3528,boleto
3529,credito
3530,credito
3531,debito
3532,credito
3533,pix
3534,dinheiro
3535,credito
3536,dinheiro
3537,credito
3538,dinheiro
3539,credito
3540,pix
3541,boleto
3542,debito
3543,debito
3544,credito
3545,credito
3546,pix
3547,credito
3548,debito
3549,debito
3550,credito
3551,boleto
3552,credito
3553,dinheiro
3554,credito
3555,debito
3556,credito
3557,credito
3558,credito
3559,credito
3560,pix
3561,debito
3562,pix
3563,credito
3564,pix
3565,credito
3566,credito
3567,pix
3568,credito
3569,debito
3570,credito
3571,credito
3572,credito
3573,credito
3574,boleto
3575,credito
3576,debito
3577,credito
3578,credito
3579,credito
3580,credito
3581,credito
3582,credito
3583,credito
3584,credito
3585,debito
3586,pix
3587,pix
3588,credito
3589,pix
3590,debito
3591,credito
3592,boleto
3593,credito
3594,credito
3595,credito
3596,credito
3597,boleto
3598,credito
3599,dinheiro
3600,credito
3601,credito
3602,credito
3603,credito
3604,credito
3605,credito
3606,credito
3607,credito
3608,credito
3609,boleto
3610,dinheiro
3611,pix
3612,credito
3613,dinheiro
3614,pix
3615,credito
3616,pix
3617,credito
3618,pix
3619,debito
3620,debito
3621,credito
3622,boleto
3623,credito
3624,credito
3625,credito
3626,pix
3627,credito
3628,debito
3629,credito
3630,boleto
3631,credito
3632,credito
3633,credito
3634,boleto
3635,pix
3636,pix
3637,credito
3638,credito
3639,pix
3640,pix
3641,debito
3642,credito
3643,credito
3644,credito
3645,pix
3646,credito
3647,credito
3648,credito
3649,credito
3650,credito
3651,credito
3652,credito
3653,credito
3654,credito
3655,credito
3656,credito
3657,debito
3658,credito
3659,credito
3660,debito
3661,credito
3662,credito
3663,pix
3664,credito
3665,credito
3666,credito
3667,debito
3668,credito
3669,credito
3670,credito
3671,credito
3672,credito
3673,credito
3674,credito
3675,credito
3676,debito
3677,credito
3678,credito
3679,debito
3680,credito
3681,credito
3682,credito
3683,pix
3684,credito
3685,credito
3686,credito
3687,credito
3688,debito
3689,credito
3690,credito
3691,credito
3692,credito
3693,credito
3694,boleto
3695,credito
3696,pix
3697,credito
3698,credito
3699,boleto
3700,debito
3701,boleto
3702,dinheiro
3703,dinheiro
3704,credito
3705,credito
3706,credito
3707,credito
3708,pix
3709,credito
3710,credito
3711,pix
3712,credito
3713,pix
3714,debito
3715,credito
3716,credito
3717,debito
3718,pix
3719,credito
3720,dinheiro
3721,credito
3722,pix
3723,credito
3724,dinheiro
3725,credito
3726,dinheiro
3727,credito
3728,boleto
3729,credito
3730,credito
3731,credito
3732,debito
3733,pix
3734,credito
3735,debito
3736,credito
3737,credito
3738,credito
3739,boleto
3740,credito
3741,pix
3742,credito
3743,credito
3744,credito
3745,credito
3746,dinheiro
3747,pix
3748,credito
3749,pix
3750,debito
3751,credito
3752,pix
3753,credito
3754,credito
3755,credito
3756,credito
3757,debito
3758,boleto
3759,debito
3760,debito
3761,credito
3762,credito
3763,credito
3764,credito
3765,credito
3766,credito
3767,credito
3768,credito
3769,credito
3770,credito
3771,dinheiro
3772,credito
3773,credito
3774,credito
3775,boleto
3776,pix
3777,credito
3778,boleto
3779,dinheiro
3780,credito
3781,credito
3782,boleto
3783,credito
3784,credito
3785,boleto
3786,credito
3787,credito
3788,pix
3789,dinheiro
3790,pix
3791,credito
3792,debito
3793,debito
3794,debito
3795,debito
3796,credito
3797,pix
3798,credito
3799,pix
3800,credito
3801,debito
3802,debito
3803,credito
3804,debito
3805,credito
3806,credito
3807,credito
3808,debito
3809,pix
3810,credito
3811,debito
3812,credito
3813,credito
3814,credito
3815,credito
3816,debito
3817,credito
3818,credito
3819,credito
3820,credito
3821,credito
3822,boleto
3823,credito
3824,credito
3825,credito
3826,credito
3827,pix
3828,credito
3829,credito
3830,credito
3831,credito
3832,credito
3833,credito
3834,credito
3835,dinheiro
3836,debito
3837,credito
3838,dinheiro
3839,dinheiro
3840,credito
3841,credito
3842,credito
3843,credito
3844,dinheiro
3845,credito
3846,credito
3847,boleto
3848,credito
3849,credito
3850,pix
3851,boleto
3852,debito
3853,credito
3854,credito
3855,credito
3856,credito
3857,credito
3858,credito
3859,credito
3860,debito
3861,credito
3862,credito
3863,debito
3864,credito
3865,credito
3866,credito
3867,credito
3868,pix
3869,debito
3870,credito
3871,credito
3872,pix
3873,debito
3874,pix
3875,credito
3876,dinheiro
3877,credito
3878,credito
3879,boleto
3880,credito
3881,credito
3882,credito
3883,debito
3884,credito
3885,credito
3886,credito
3887,credito
3888,pix
3889,boleto
3890,pix
3891,credito
3892,credito
3893,boleto
3894,pix
3895,pix
3896,debito
3897,credito
3898,credito
3899,pix
3900,dinheiro
3901,credito
3902,boleto
3903,credito
3904,credito
3905,credito
3906,boleto
3907,credito
3908,dinheiro
3909,credito
3910,pix
3911,boleto
3912,credito
3913,credito
3914,credito
3915,credito
3916,debito
3917,credito
3918,debito
3919,credito
3920,debito
3921,credito
3922,pix
3923,credito
3924,credito
3925,credito
3926,credito
3927,credito
3928,credito
3929,pix
3930,credito
3931,pix
3932,debito
3933,credito
3934,credito
3935,boleto
3936,boleto
3937,credito
3938,credito
3939,credito
3940,credito
3941,credito
3942,credito
3943,credito
3944,credito
3945,dinheiro
3946,credito
3947,credito
3948,debito
3949,pix
3950,debito
3951,credito
3952,debito
3953,dinheiro
3954,debito
3955,credito
3956,boleto
3957,credito
3958,credito
3959,debito
3960,debito
3961,credito
3962,debito
3963,credito
3964,credito
3965,credito
3966,credito
3967,credito
3968,credito
3969,credito
3970,credito
3971,credito
3972,credito
3973,credito
3974,debito
3975,credito
3976,boleto
3977,credito
3978,boleto
3979,credito
3980,debito
3981,credito
3982,boleto
3983,dinheiro
3984,boleto
3985,dinheiro
3986,debito
3987,debito
3988,credito
3989,boleto
3990,credito
3991,credito
3992,credito
3993,pix
3994,credito
3995,credito
3996,credito
3997,credito
3998,pix
3999,pix
4000,pix
4001,credito
4002,credito
4003,credito
4004,credito
4005,credito
4006,credito
4007,credito
4008,credito
4009,debito
4010,credito
4011,credito
4012,credito
4013,credito
4014,credito
4015,credito
4016,credito
4017,debito
4018,credito
4019,credito
4020,credito
4021,credito
4022,debito
4023,dinheiro
4024,credito
4025,pix
4026,pix
4027,credito
4028,pix
4029,pix
4030,credito
4031,credito
4032,credito
4033,credito
4034,credito
4035,credito
4036,dinheiro
4037,credito
4038,credito
4039,dinheiro
4040,credito
4041,credito
4042,credito
4043,pix
4044,credito
4045,credito
4046,boleto
4047,boleto
4048,dinheiro
4049,credito
4050,credito
4051,dinheiro
4052,boleto
4053,credito
4054,debito
4055,credito
4056,credito
4057,credito
4058,credito
4059,credito
4060,credito
4061,credito
4062,credito
4063,credito
4064,credito
4065,debito
4066,credito
4067,credito
4068,pix
4069,credito
4070,credito
4071,credito
4072,credito
4073,pix
4074,boleto
4075,debito
4076,pix
4077,pix
4078,credito
4079,pix
4080,credito
4081,credito
4082,dinheiro
4083,credito
4084,boleto
4085,credito
4086,credito
4087,pix
4088,credito
4089,debito
4090,debito
4091,credito
4092,credito
4093,credito
4094,credito
4095,debito
4096,credito
4097,debito
4098,credito
4099,credito
4100,pix
4101,pix
4102,credito
4103,credito
4104,boleto
4105,credito
4106,credito
4107,pix
4108,boleto
4109,pix
4110,credito
4111,credito
4112,pix
4113,debito
4114,pix
4115,credito
4116,credito
4117,credito
4118,dinheiro
4119,pix
4120,credito
4121,credito
4122,credito
4123,pix
4124,credito
4125,pix
4126,credito
4127,credito
4128,credito
4129,pix
4130,credito
4131,credito
4132,pix
4133,credito
4134,boleto
4135,credito
4136,boleto
4137,dinheiro
4138,pix
4139,pix
4140,credito
4141,credito
4142,credito
4143,boleto
4144,credito
4145,credito
4146,credito
4147,credito
4148,credito
4149,pix
4150,credito
4151,debito
4152,credito
4153,credito
4154,dinheiro
4155,credito
4156,boleto
4157,credito
4158,credito
4159,pix
4160,debito
4161,debito
4162,debito
4163,credito
4164,boleto
4165,boleto
4166,dinheiro
4167,credito
4168,boleto
4169,debito
4170,credito
4171,pix
4172,boleto
4173,credito
4174,debito
4175,credito
4176,debito
4177,credito
4178,dinheiro
4179,credito
4180,debito
4181,credito
4182,credito
4183,pix
4184,credito
4185,credito
4186,credito
4187,debito
4188,debito
4189,pix
4190,dinheiro
4191,credito
4192,pix
4193,credito
4194,credito
4195,credito
4196,pix
4197,credito
4198,credito
4199,credito
4200,credito
4201,credito
4202,credito
4203,pix
4204,credito
4205,credito
4206,credito
4207,credito
4208,debito
4209,debito
4210,debito
4211,boleto
4212,credito
4213,pix
4214,credito
4215,credito
4216,dinheiro
4217,credito
4218,credito
4219,boleto
4220,dinheiro
4221,credito
4222,pix
4223,credito
4224,credito
4225,credito
4226,credito
4227,credito
4228,pix
4229,credito
4230,credito
4231,pix
4232,credito
4233,credito
4234,credito
4235,debito
4236,pix
4237,credito
4238,credito
4239,debito
4240,dinheiro
4241,credito
4242,credito
4243,credito
4244,dinheiro
4245,debito
4246,debito
4247,credito
4248,credito
4249,credito
4250,debito
4251,credito
4252,credito
4253,credito
4254,credito
4255,credito
4256,credito
4257,debito
4258,credito
4259,credito
4260,credito
4261,dinheiro
4262,credito
4263,pix
4264,credito
4265,credito
4266,credito
4267,credito
4268,credito
4269,dinheiro
4270,boleto
4271,pix
4272,boleto
4273,credito
4274,credito
4275,credito
4276,pix
4277,pix
4278,credito
4279,pix
4280,pix
4281,dinheiro
4282,credito
4283,dinheiro
4284,credito
4285,credito
4286,credito
4287,dinheiro
4288,credito
4289,debito
4290,credito
4291,credito
4292,debito
4293,credito
4294,pix
4295,debito
4296,credito
4297,credito
4298,debito
4299,credito
4300,credito
4301,boleto
4302,debito
4303,credito
4304,debito
4305,credito
4306,credito
4307,debito
4308,credito
4309,credito
4310,boleto
4311,credito
4312,credito
4313,pix
4314,debito
4315,boleto
4316,credito
4317,credito
4318,pix
4319,credito
4320,credito
4321,credito
4322,credito
4323,credito
4324,credito
4325,debito
4326,debito
4327,boleto
4328,credito
4329,debito
4330,credito
4331,credito
4332,credito
4333,dinheiro
4334,boleto
4335,credito
4336,credito
4337,credito
4338,pix
4339,credito
4340,credito
4341,pix
4342,credito
4343,debito
4344,credito
4345,pix
4346,credito
4347,credito
4348,pix
4349,credito
4350,credito
4351,credito
4352,boleto
4353,credito
4354,credito
4355,boleto
4356,credito
4357,pix
4358,credito
4359,credito
4360,credito
4361,boleto
4362,debito
4363,credito
4364,debito
4365,boleto
4366,boleto
4367,pix
4368,credito
4369,boleto
4370,credito
4371,credito
4372,credito
4373,debito
4374,credito
4375,credito
4376,credito
4377,boleto
4378,credito
4379,dinheiro
4380,credito
4381,boleto
4382,credito
4383,pix
4384,credito
4385,dinheiro
4386,pix
4387,credito
4388,credito
4389,credito
4390,debito
4391,pix
4392,pix
4393,credito
4394,debito
4395,credito
4396,credito
4397,credito
4398,boleto
4399,credito
4400,dinheiro
4401,debito
4402,debito
4403,pix
4404,credito
4405,credito
4406,credito
4407,credito
4408,dinheiro
4409,credito
4410,credito
4411,pix
4412,credito
4413,credito
4414,credito
4415,credito
4416,credito
4417,credito
4418,credito
4419,credito
4420,credito
4421,boleto
4422,debito
4423,credito
4424,pix
4425,credito
4426,dinheiro
4427,pix
4428,credito
4429,credito
4430,credito
4431,pix
4432,boleto
4433,credito
4434,credito
4435,debito
4436,credito
4437,debito
4438,credito
4439,credito
4440,credito
4441,pix
4442,credito
4443,debito
4444,pix
4445,credito
4446,credito
4447,credito
4448,pix
4449,debito
4450,boleto
4451,credito
4452,pix
4453,debito
4454,credito
4455,pix
4456,debito
4457,credito
4458,credito
4459,pix
4460,credito
4461,credito
4462,credito
4463,pix
4464,boleto
4465,credito
4466,boleto
4467,dinheiro
4468,boleto
4469,dinheiro
4470,credito
4471,credito
4472,pix
4473,credito
4474,pix
4475,credito
4476,credito
4477,credito
4478,credito
4479,debito
4480,boleto
4481,credito
4482,boleto
4483,pix
4484,debito
4485,credito
4486,debito
4487,debito
4488,credito
4489,credito
4490,credito
4491,credito
4492,credito
4493,credito
4494,debito
4495,credito
4496,credito
4497,pix
4498,credito
4499,credito
4500,credito
4501,credito
4502,credito
4503,debito
4504,credito
4505,pix
4506,credito
4507,debito
4508,credito
4509,pix
4510,boleto
4511,credito
4512,credito
4513,credito
4514,credito
4515,credito
4516,credito
4517,credito
4518,credito
4519,credito
4520,pix
4521,credito
4522,dinheiro
4523,credito
4524,credito
4525,credito
4526,credito
4527,credito
4528,debito
4529,credito
4530,pix
4531,credito
4532,credito
4533,debito
4534,boleto
4535,credito
4536,debito
4537,credito
4538,debito
4539,pix
4540,debito
4541,pix
4542,credito
4543,credito
4544,credito
4545,credito
4546,credito
4547,credito
4548,credito
4549,credito
4550,credito
4551,boleto
4552,credito
4553,boleto
4554,credito
4555,credito
4556,debito
4557,dinheiro
4558,credito
4559,credito
4560,credito
4561,pix
4562,pix
4563,debito
4564,credito
4565,credito
4566,credito
4567,pix
4568,credito
4569,credito
4570,boleto
4571,pix
4572,credito
4573,credito
4574,credito
4575,credito
4576,pix
4577,credito
4578,debito
4579,credito
4580,credito
4581,credito
4582,debito
4583,pix
4584,pix
4585,credito
4586,pix
4587,credito
4588,dinheiro
4589,pix
4590,pix
4591,boleto
4592,dinheiro
4593,debito
4594,credito
4595,credito
4596,pix
4597,dinheiro
4598,pix
4599,credito
4600,dinheiro
4601,credito
4602,credito
4603,credito
4604,credito
4605,credito
4606,credito
4607,credito
4608,credito
4609,credito
4610,boleto
4611,dinheiro
4612,boleto
4613,debito
4614,credito
4615,boleto
4616,debito
4617,credito
4618,credito
4619,credito
4620,credito
4621,pix
4622,pix
4623,debito
4624,debito
4625,credito
4626,pix
4627,credito
4628,debito
4629,credito
4630,credito
4631,credito
4632,credito
4633,boleto
4634,credito
4635,credito
4636,pix
4637,credito
4638,credito
4639,credito
4640,debito
4641,credito
4642,boleto
